team_abbreviation_home,team_abbreviation_away,wl_home,game_date
GSW,HOU,L,2017-10-17 00:00:00
CLE,BOS,W,2017-10-17 00:00:00
SAS,MIN,W,2017-10-18 00:00:00
DAL,ATL,L,2017-10-18 00:00:00
UTA,DEN,W,2017-10-18 00:00:00
WAS,PHI,W,2017-10-18 00:00:00
MEM,NOP,W,2017-10-18 00:00:00
IND,BKN,W,2017-10-18 00:00:00
ORL,MIA,W,2017-10-18 00:00:00
PHX,POR,L,2017-10-18 00:00:00
DET,CHA,W,2017-10-18 00:00:00
SAC,HOU,L,2017-10-18 00:00:00
BOS,MIL,L,2017-10-18 00:00:00
LAL,LAC,L,2017-10-19 00:00:00
TOR,CHI,W,2017-10-19 00:00:00
OKC,NYK,W,2017-10-19 00:00:00
IND,POR,L,2017-10-20 00:00:00
WAS,DET,W,2017-10-20 00:00:00
BKN,ORL,W,2017-10-20 00:00:00
PHX,LAL,L,2017-10-20 00:00:00
PHI,BOS,L,2017-10-20 00:00:00
CHA,ATL,W,2017-10-20 00:00:00
MIL,CLE,L,2017-10-20 00:00:00
MIN,UTA,W,2017-10-20 00:00:00
NOP,GSW,L,2017-10-20 00:00:00
DAL,SAC,L,2017-10-20 00:00:00
DEN,SAC,W,2017-10-21 00:00:00
UTA,OKC,W,2017-10-21 00:00:00
MIA,IND,W,2017-10-21 00:00:00
CHI,SAS,L,2017-10-21 00:00:00
TOR,PHI,W,2017-10-21 00:00:00
CLE,ORL,L,2017-10-21 00:00:00
LAC,PHX,W,2017-10-21 00:00:00
MIL,POR,W,2017-10-21 00:00:00
HOU,DAL,W,2017-10-21 00:00:00
NYK,DET,L,2017-10-21 00:00:00
MEM,GSW,W,2017-10-21 00:00:00
OKC,MIN,L,2017-10-22 00:00:00
BKN,ATL,W,2017-10-22 00:00:00
LAL,NOP,L,2017-10-22 00:00:00
DAL,GSW,L,2017-10-23 00:00:00
MIA,ATL,W,2017-10-23 00:00:00
PHX,SAC,W,2017-10-23 00:00:00
DET,PHI,L,2017-10-23 00:00:00
DEN,WAS,L,2017-10-23 00:00:00
MIL,CHA,W,2017-10-23 00:00:00
SAS,TOR,W,2017-10-23 00:00:00
HOU,MEM,L,2017-10-23 00:00:00
LAC,UTA,W,2017-10-24 00:00:00
MIN,IND,L,2017-10-24 00:00:00
BOS,NYK,W,2017-10-24 00:00:00
CLE,CHI,W,2017-10-24 00:00:00
POR,NOP,W,2017-10-24 00:00:00
ORL,BKN,W,2017-10-24 00:00:00
DET,MIN,W,2017-10-25 00:00:00
BKN,CLE,W,2017-10-25 00:00:00
DAL,MEM,W,2017-10-25 00:00:00
LAL,WAS,W,2017-10-25 00:00:00
PHX,UTA,W,2017-10-25 00:00:00
CHA,DEN,W,2017-10-25 00:00:00
OKC,IND,W,2017-10-25 00:00:00
GSW,TOR,W,2017-10-25 00:00:00
PHI,HOU,L,2017-10-25 00:00:00
MIA,SAS,L,2017-10-25 00:00:00
SAC,NOP,L,2017-10-26 00:00:00
MEM,DAL,W,2017-10-26 00:00:00
POR,LAC,L,2017-10-26 00:00:00
MIL,BOS,L,2017-10-26 00:00:00
CHI,ATL,W,2017-10-26 00:00:00
LAL,TOR,L,2017-10-27 00:00:00
NYK,BKN,W,2017-10-27 00:00:00
ATL,DEN,L,2017-10-27 00:00:00
GSW,WAS,W,2017-10-27 00:00:00
CHA,HOU,L,2017-10-27 00:00:00
ORL,SAS,W,2017-10-27 00:00:00
MIN,OKC,W,2017-10-27 00:00:00
DAL,PHI,L,2017-10-28 00:00:00
MIA,BOS,L,2017-10-28 00:00:00
NOP,CLE,W,2017-10-28 00:00:00
CHI,OKC,L,2017-10-28 00:00:00
UTA,LAL,W,2017-10-28 00:00:00
LAC,DET,L,2017-10-28 00:00:00
POR,PHX,W,2017-10-28 00:00:00
MEM,HOU,W,2017-10-28 00:00:00
IND,SAS,W,2017-10-29 00:00:00
ATL,MIL,L,2017-10-29 00:00:00
BKN,DEN,L,2017-10-29 00:00:00
CLE,NYK,L,2017-10-29 00:00:00
CHA,ORL,W,2017-10-29 00:00:00
GSW,DET,L,2017-10-29 00:00:00
SAC,WAS,L,2017-10-29 00:00:00
UTA,DAL,W,2017-10-30 00:00:00
HOU,PHI,L,2017-10-30 00:00:00
NYK,DEN,W,2017-10-30 00:00:00
POR,TOR,L,2017-10-30 00:00:00
NOP,ORL,L,2017-10-30 00:00:00
MEM,CHA,L,2017-10-30 00:00:00
LAC,GSW,L,2017-10-30 00:00:00
BOS,SAS,W,2017-10-30 00:00:00
MIA,MIN,L,2017-10-30 00:00:00
LAL,DET,W,2017-10-31 00:00:00
BKN,PHX,L,2017-10-31 00:00:00
MIL,OKC,L,2017-10-31 00:00:00
IND,SAC,W,2017-10-31 00:00:00
UTA,POR,W,2017-11-01 00:00:00
WAS,PHX,L,2017-11-01 00:00:00
CLE,IND,L,2017-11-01 00:00:00
MEM,ORL,L,2017-11-01 00:00:00
LAC,DAL,W,2017-11-01 00:00:00
NOP,MIN,L,2017-11-01 00:00:00
BOS,SAC,W,2017-11-01 00:00:00
PHI,ATL,W,2017-11-01 00:00:00
DEN,TOR,W,2017-11-01 00:00:00
NYK,HOU,L,2017-11-01 00:00:00
CHA,MIL,W,2017-11-01 00:00:00
MIA,CHI,W,2017-11-01 00:00:00
POR,LAL,W,2017-11-02 00:00:00
SAS,GSW,L,2017-11-02 00:00:00
DET,MIL,W,2017-11-03 00:00:00
PHI,IND,W,2017-11-03 00:00:00
OKC,BOS,L,2017-11-03 00:00:00
LAL,BKN,W,2017-11-03 00:00:00
UTA,TOR,L,2017-11-03 00:00:00
DEN,MIA,W,2017-11-03 00:00:00
SAS,CHA,W,2017-11-03 00:00:00
DAL,NOP,L,2017-11-03 00:00:00
ORL,CHI,L,2017-11-03 00:00:00
NYK,PHX,W,2017-11-03 00:00:00
ATL,HOU,L,2017-11-03 00:00:00
WAS,CLE,L,2017-11-03 00:00:00
CHI,NOP,L,2017-11-04 00:00:00
DEN,GSW,L,2017-11-04 00:00:00
MIN,DAL,W,2017-11-04 00:00:00
LAC,MEM,L,2017-11-04 00:00:00
DET,SAC,W,2017-11-04 00:00:00
SAS,PHX,W,2017-11-05 00:00:00
HOU,UTA,W,2017-11-05 00:00:00
POR,OKC,W,2017-11-05 00:00:00
TOR,WAS,L,2017-11-05 00:00:00
CLE,ATL,L,2017-11-05 00:00:00
LAL,MEM,W,2017-11-05 00:00:00
MIN,CHA,W,2017-11-05 00:00:00
ORL,BOS,L,2017-11-05 00:00:00
NYK,IND,W,2017-11-05 00:00:00
