home_idx,away_idx,margin,season
2,22,18.0,2018
9,20,8.0,2018
26,17,4.0,2018
23,6,21.0,2018
12,7,-9.0,2018
19,0,19.0,2018
25,28,-6.0,2018
10,18,-19.0,2018
21,15,3.0,2018
11,14,28.0,2018
8,1,3.0,2018
3,16,-1.0,2018
27,5,12.0,2018
24,13,9.0,2018
29,15,-1.0,2018
22,4,19.0,2018
12,20,16.0,2018
1,19,2.0,2018
17,5,8.0,2018
21,3,-30.0,2018
16,11,17.0,2018
27,2,12.0,2018
28,9,-1.0,2018
14,0,14.0,2018
18,25,20.0,2018
15,3,-1.0,2018
24,26,13.0,2018
11,1,20.0,2018
6,17,4.0,2018
13,10,-9.0,2018
4,8,-2.0,2018
29,27,-4.0,2018
19,2,-2.0,2018
7,23,28.0,2018
22,21,1.0,2018
7,9,2.0,2018
12,10,3.0,2018
5,0,-22.0,2018
20,25,-11.0,2018
16,19,11.0,2018
24,29,-1.0,2018
13,26,-1.0,2018
27,3,21.0,2018
6,4,6.0,2018
9,23,20.0,2018
2,21,-3.0,2018
28,14,-8.0,2018
17,11,10.0,2018
7,25,14.0,2018
18,12,7.0,2018
8,22,1.0,2018
23,13,-18.0,2018
25,14,5.0,2018
27,17,7.0,2018
4,3,2.0,2018
16,22,15.0,2018
26,11,-20.0,2018
10,28,-11.0,2018
0,6,7.0,2018
15,19,23.0,2018
5,1,-16.0,2018
9,29,22.0,2018
13,7,7.0,2018
20,2,-6.0,2018
21,24,-14.0,2018
8,5,7.0,2018
17,16,-30.0,2018
18,1,2.0,2018
27,6,9.0,2018
19,9,-28.0,2018
25,29,4.0,2018
3,4,29.0,2018
10,12,-20.0,2018
14,23,21.0,2018
26,13,4.0,2018
15,24,9.0,2018
22,3,2.0,2018
5,11,-12.0,2018
0,4,-12.0,2018
16,21,22.0,2018
8,2,-20.0,2018
18,28,-21.0,2018
20,23,7.0,2018
12,29,30.0,2018
1,9,-6.0,2018
6,28,-9.0,2018
19,1,19.0,2018
15,25,-10.0,2018
16,27,15.0,2018
4,9,-25.0,2018
11,24,-10.0,2018
17,13,4.0,2018
26,6,5.0,2018
7,18,5.0,2018
22,0,21.0,2018
3,15,12.0,2018
5,0,22.0,2018
10,24,-19.0,2018
2,8,3.0,2018
20,12,18.0,2018
14,29,12.0,2018
21,25,-8.0,2018
27,22,17.0,2018
23,26,-30.0,2018
9,18,10.0,2018
17,28,3.0,2018
19,11,-6.0,2018
1,8,1.0,2018
4,7,-1.0,2018
13,6,1.0,2018
24,18,13.0,2018
2,16,4.0,2018
5,7,-19.0,2018
3,20,-4.0,2018
0,25,-30.0,2018
22,12,9.0,2018
29,20,-23.0,2018
21,12,-25.0,2018
23,27,-9.0,2018
6,19,-12.0,2018
1,10,-8.0,2018
4,11,-2.0,2018
9,17,17.0,2018
28,14,-10.0,2018
11,2,1.0,2018
0,15,5.0,2018
22,8,10.0,2018
3,5,30.0,2018
7,28,15.0,2018
24,13,-4.0,2018
4,10,-8.0,2018
26,18,14.0,2018
26,21,-7.0,2018
1,22,25.0,2018
24,17,30.0,2018
23,14,2.0,2018
29,19,13.0,2018
16,25,30.0,2018
13,27,-14.0,2018
12,17,11.0,2018
7,2,8.0,2018
20,18,6.0,2018
9,14,16.0,2018
11,10,-4.0,2018
19,4,-1.0,2018
21,5,2.0,2018
8,15,-5.0,2018
28,27,-13.0,2018
6,29,19.0,2018
23,1,-22.0,2018
24,16,15.0,2018
3,0,11.0,2018
28,6,15.0,2018
14,7,2.0,2018
13,17,4.0,2018
5,20,-9.0,2018
11,22,-6.0,2018
18,4,9.0,2018
15,26,7.0,2018
0,19,-5.0,2018
21,8,-7.0,2018
25,27,-9.0,2018
24,12,11.0,2018
23,2,-7.0,2018
9,16,-23.0,2018
20,10,18.0,2018
0,8,-15.0,2018
25,17,11.0,2018
28,2,8.0,2018
21,29,9.0,2018
22,3,1.0,2018
7,1,-2.0,2018
15,11,-8.0,2018
6,20,15.0,2018
4,5,1.0,2018
25,13,-15.0,2018
27,19,16.0,2018
18,23,20.0,2018
9,1,16.0,2018
26,10,7.0,2018
15,29,-6.0,2018
12,16,2.0,2018
14,22,6.0,2018
19,21,-26.0,2018
10,11,12.0,2018
24,2,6.0,2018
8,3,-10.0,2018
13,0,1.0,2018
7,16,-7.0,2018
27,18,-16.0,2018
29,21,8.0,2018
12,9,5.0,2018
25,26,5.0,2018
15,22,-10.0,2018
14,28,-8.0,2018
20,23,17.0,2018
4,6,-5.0,2018
17,1,7.0,2018
7,10,-10.0,2018
5,3,24.0,2018
9,0,7.0,2018
13,24,9.0,2018
27,8,-2.0,2018
29,5,24.0,2018
1,15,-13.0,2018
16,14,-3.0,2018
17,18,7.0,2018
23,26,20.0,2018
20,19,25.0,2018
6,28,30.0,2018
21,22,5.0,2018
2,4,29.0,2018
7,0,30.0,2018
10,9,21.0,2018
12,26,5.0,2018
11,15,8.0,2018
16,4,19.0,2018
22,28,6.0,2018
18,19,5.0,2018
2,27,7.0,2018
14,25,8.0,2018
17,24,16.0,2018
29,1,-11.0,2018
11,0,8.0,2018
10,25,20.0,2018
3,22,-3.0,2018
21,13,13.0,2018
6,9,3.0,2018
4,27,-30.0,2018
23,20,-10.0,2018
18,7,10.0,2018
2,28,-12.0,2018
1,12,-8.0,2018
26,9,12.0,2018
29,24,-10.0,2018
17,14,-13.0,2018
21,19,14.0,2018
15,13,-16.0,2018
22,23,5.0,2018
11,28,27.0,2018
0,12,-8.0,2018
14,6,10.0,2018
25,20,4.0,2018
18,26,14.0,2018
3,2,5.0,2018
8,5,11.0,2018
16,7,6.0,2018
29,12,7.0,2018
21,27,-2.0,2018
19,24,-4.0,2018
15,1,-12.0,2018
28,25,-9.0,2018
26,14,-1.0,2018
9,20,-28.0,2018
0,27,-16.0,2018
10,8,2.0,2018
4,23,8.0,2018
6,1,6.0,2018
5,13,-4.0,2018
3,11,18.0,2018
22,18,1.0,2018
16,24,30.0,2018
17,7,-2.0,2018
2,19,-8.0,2018
20,3,5.0,2018
8,10,5.0,2018
