home_idx,away_idx,margin
12,13,10.0
27,18,8.0
11,8,-9.0
15,14,19.0
22,2,14.0
3,4,1.0
21,5,9.0
28,20,5.0
23,25,29.0
24,7,-8.0
6,29,8.0
1,17,-1.0
26,19,9.0
8,0,-17.0
10,16,-6.0
9,12,-19.0
20,29,-12.0
25,24,-10.0
13,28,9.0
1,19,4.0
2,27,6.0
14,4,-8.0
3,17,-22.0
18,6,-7.0
7,23,1.0
10,18,3.0
16,15,-5.0
0,21,4.0
4,27,-24.0
8,22,-6.0
28,25,30.0
23,12,8.0
26,29,2.0
5,11,11.0
19,2,-23.0
17,15,7.0
14,1,1.0
20,9,28.0
6,24,-2.0
13,3,19.0
10,20,4.0
23,28,-1.0
27,21,9.0
18,9,-11.0
8,11,2.0
25,7,-7.0
19,4,7.0
26,24,3.0
16,5,17.0
12,3,15.0
0,22,-2.0
13,14,29.0
15,0,15.0
7,6,-3.0
2,16,11.0
1,11,-10.0
29,10,-1.0
9,23,-11.0
28,12,14.0
27,8,12.0
20,24,-3.0
21,19,12.0
5,4,6.0
22,17,22.0
25,3,-7.0
18,7,15.0
0,15,-9.0
12,26,6.0
1,10,7.0
25,28,1.0
21,16,-30.0
11,5,7.0
4,8,6.0
6,13,-9.0
2,19,2.0
9,26,-17.0
20,18,11.0
29,17,-22.0
9,3,-6.0
14,23,-9.0
21,7,-4.0
24,22,-1.0
16,27,10.0
8,1,4.0
26,13,-7.0
12,28,11.0
15,10,29.0
5,6,-20.0
11,4,13.0
19,25,-21.0
9,24,9.0
17,16,-28.0
29,8,16.0
1,18,10.0
14,10,-7.0
23,22,5.0
4,13,-6.0
3,11,2.0
20,21,8.0
0,26,8.0
7,15,20.0
5,2,-6.0
11,29,15.0
14,17,16.0
6,21,1.0
10,9,17.0
12,16,-5.0
0,4,-20.0
8,19,20.0
28,22,2.0
27,25,4.0
26,20,9.0
3,2,-21.0
12,24,6.0
23,15,-16.0
29,5,-13.0
24,1,-4.0
17,9,6.0
6,19,-4.0
21,14,30.0
18,27,-18.0
0,25,-12.0
11,8,6.0
13,15,15.0
7,22,3.0
28,16,3.0
14,6,-16.0
20,9,6.0
26,2,-20.0
3,18,-5.0
4,10,-23.0
21,11,-7.0
17,7,-2.0
19,5,-21.0
22,3,8.0
24,0,11.0
20,16,-2.0
23,1,26.0
13,27,-9.0
12,27,10.0
18,10,-6.0
2,6,10.0
9,28,-14.0
8,17,-6.0
26,14,-4.0
7,0,-4.0
15,8,9.0
28,1,5.0
4,19,18.0
25,24,8.0
22,5,1.0
