team_abbreviation_home,team_abbreviation_away,pts_home,pts_away,game_date
BKN,GSW,125.0,99.0,2020-12-22 00:00:00
LAL,LAC,109.0,116.0,2020-12-22 00:00:00
POR,UTA,100.0,120.0,2020-12-23 00:00:00
CLE,CHA,121.0,114.0,2020-12-23 00:00:00
MEM,SAS,119.0,131.0,2020-12-23 00:00:00
CHI,ATL,104.0,124.0,2020-12-23 00:00:00
PHI,WAS,113.0,107.0,2020-12-23 00:00:00
MIN,DET,111.0,101.0,2020-12-23 00:00:00
PHX,DAL,106.0,102.0,2020-12-23 00:00:00
ORL,MIA,113.0,107.0,2020-12-23 00:00:00
DEN,SAC,122.0,124.0,2020-12-23 00:00:00
IND,NYK,121.0,107.0,2020-12-23 00:00:00
BOS,MIL,122.0,121.0,2020-12-23 00:00:00
TOR,NOP,99.0,113.0,2020-12-23 00:00:00
MIA,NOP,111.0,98.0,2020-12-25 00:00:00
LAL,DAL,138.0,115.0,2020-12-25 00:00:00
BOS,BKN,95.0,123.0,2020-12-25 00:00:00
MIL,GSW,138.0,99.0,2020-12-25 00:00:00
DEN,LAC,108.0,121.0,2020-12-25 00:00:00
MEM,ATL,112.0,122.0,2020-12-26 00:00:00
WAS,ORL,120.0,130.0,2020-12-26 00:00:00
SAS,TOR,119.0,114.0,2020-12-26 00:00:00
CHI,IND,106.0,125.0,2020-12-26 00:00:00
SAC,PHX,106.0,103.0,2020-12-26 00:00:00
NYK,PHI,89.0,109.0,2020-12-26 00:00:00
DET,CLE,119.0,128.0,2020-12-26 00:00:00
CHA,OKC,107.0,109.0,2020-12-26 00:00:00
POR,HOU,128.0,126.0,2020-12-26 00:00:00
UTA,MIN,111.0,116.0,2020-12-26 00:00:00
LAL,MIN,127.0,91.0,2020-12-27 00:00:00
CLE,PHI,118.0,94.0,2020-12-27 00:00:00
NYK,MIL,130.0,110.0,2020-12-27 00:00:00
CHA,BKN,106.0,104.0,2020-12-27 00:00:00
NOP,SAS,98.0,95.0,2020-12-27 00:00:00
IND,BOS,108.0,107.0,2020-12-27 00:00:00
WAS,ORL,113.0,120.0,2020-12-27 00:00:00
CHI,GSW,128.0,129.0,2020-12-27 00:00:00
LAC,DAL,73.0,124.0,2020-12-27 00:00:00
SAC,PHX,100.0,116.0,2020-12-27 00:00:00
DEN,HOU,124.0,111.0,2020-12-28 00:00:00
OKC,UTA,109.0,110.0,2020-12-28 00:00:00
ATL,DET,128.0,120.0,2020-12-28 00:00:00
LAL,POR,107.0,115.0,2020-12-28 00:00:00
BKN,MEM,111.0,116.0,2020-12-28 00:00:00
IND,BOS,111.0,116.0,2020-12-29 00:00:00
SAC,DEN,125.0,115.0,2020-12-29 00:00:00
DET,GSW,106.0,116.0,2020-12-29 00:00:00
PHI,TOR,100.0,93.0,2020-12-29 00:00:00
MIA,MIL,97.0,144.0,2020-12-29 00:00:00
LAC,MIN,124.0,101.0,2020-12-29 00:00:00
PHX,NOP,111.0,86.0,2020-12-29 00:00:00
OKC,ORL,107.0,118.0,2020-12-29 00:00:00
WAS,CHI,107.0,115.0,2020-12-29 00:00:00
CLE,NYK,86.0,95.0,2020-12-29 00:00:00
BOS,MEM,126.0,107.0,2020-12-30 00:00:00
LAC,POR,128.0,105.0,2020-12-30 00:00:00
MIA,MIL,119.0,108.0,2020-12-30 00:00:00
DAL,CHA,99.0,118.0,2020-12-30 00:00:00
BKN,ATL,145.0,141.0,2020-12-30 00:00:00
SAS,LAL,107.0,121.0,2020-12-30 00:00:00
WAS,CHI,130.0,133.0,2020-12-31 00:00:00
UTA,PHX,95.0,106.0,2020-12-31 00:00:00
HOU,SAC,122.0,119.0,2020-12-31 00:00:00
ORL,PHI,92.0,116.0,2020-12-31 00:00:00
OKC,NOP,80.0,113.0,2020-12-31 00:00:00
IND,CLE,119.0,99.0,2020-12-31 00:00:00
TOR,NYK,100.0,83.0,2020-12-31 00:00:00
MIN,WAS,109.0,130.0,2021-01-01 00:00:00
UTA,LAC,106.0,100.0,2021-01-01 00:00:00
SAS,LAL,103.0,109.0,2021-01-01 00:00:00
DET,BOS,96.0,93.0,2021-01-01 00:00:00
DAL,MIA,93.0,83.0,2021-01-01 00:00:00
DEN,PHX,103.0,106.0,2021-01-01 00:00:00
CHA,MEM,93.0,108.0,2021-01-01 00:00:00
MIL,CHI,126.0,96.0,2021-01-01 00:00:00
BKN,ATL,96.0,114.0,2021-01-01 00:00:00
GSW,POR,98.0,123.0,2021-01-01 00:00:00
PHI,CHA,127.0,112.0,2021-01-02 00:00:00
NOP,TOR,120.0,116.0,2021-01-02 00:00:00
HOU,SAC,102.0,94.0,2021-01-02 00:00:00
IND,NYK,102.0,106.0,2021-01-02 00:00:00
ORL,OKC,99.0,108.0,2021-01-02 00:00:00
ATL,CLE,91.0,96.0,2021-01-02 00:00:00
GSW,POR,137.0,122.0,2021-01-03 00:00:00
DET,BOS,120.0,122.0,2021-01-03 00:00:00
MIN,DEN,109.0,124.0,2021-01-03 00:00:00
MEM,LAL,94.0,108.0,2021-01-03 00:00:00
SAS,UTA,109.0,130.0,2021-01-03 00:00:00
PHX,LAC,107.0,112.0,2021-01-03 00:00:00
BKN,WAS,122.0,123.0,2021-01-03 00:00:00
CHI,DAL,118.0,108.0,2021-01-03 00:00:00
MIL,DET,125.0,115.0,2021-01-04 00:00:00
ATL,NYK,108.0,113.0,2021-01-04 00:00:00
HOU,DAL,100.0,113.0,2021-01-04 00:00:00
NOP,IND,116.0,118.0,2021-01-04 00:00:00
ORL,CLE,103.0,83.0,2021-01-04 00:00:00
TOR,BOS,114.0,126.0,2021-01-04 00:00:00
GSW,SAC,137.0,106.0,2021-01-04 00:00:00
PHI,CHA,118.0,101.0,2021-01-04 00:00:00
MIA,OKC,118.0,90.0,2021-01-04 00:00:00
POR,CHI,108.0,111.0,2021-01-05 00:00:00
BKN,UTA,130.0,96.0,2021-01-05 00:00:00
MEM,LAL,92.0,94.0,2021-01-05 00:00:00
LAC,SAS,113.0,116.0,2021-01-05 00:00:00
