home_idx,away_idx,margin,home_team,away_team,home_pr,away_pr,home_off,home_def,away_off,away_def
2,22,9.0,BOS,PHI,0.0772253049343108,0.035428294317116,1.008049,0.944763,0.994641,0.971781
9,13,14.0,GSW,LAL,0.0711095215138326,0.0137511796875004,1.001005,0.950809,1.013651,1.040915
8,21,4.0,DET,ORL,0.012590743809682,0.0089507342892975,0.949618,1.015795,0.942972,1.01223
28,7,21.0,UTA,DEN,0.0537611219294618,0.0345402587126149,1.025165,0.973709,1.017956,0.998491
1,18,-22.0,BKN,NOP,0.0245005373461128,0.0208227100466635,1.024876,1.016646,0.986774,0.99425
11,29,-7.0,IND,WAS,0.0210597726835284,0.0184133026207388,1.010643,1.039967,0.983764,1.013005
25,24,-7.0,SAC,POR,0.0125988940675179,0.0137597696546373,0.998358,1.046842,0.960516,1.037311
23,6,2.0,PHX,DAL,0.0602335274538521,0.0400431558863304,1.034706,0.972419,0.973076,0.945594
26,3,-27.0,SAS,CHA,0.0261337119399451,0.0246902228698749,1.022324,1.022463,1.045667,1.04167
17,20,7.0,MIN,OKC,0.0464363618485504,0.0096898554654642,1.049302,1.026474,0.936351,1.006328
27,5,3.0,TOR,CLE,0.0402042952349722,0.0500866440470742,0.989893,0.969089,0.972418,0.953531
14,19,3.0,MEM,NYK,0.0598898243501919,0.0291673104305282,1.04365,0.994827,0.961948,0.961574
15,4,-8.0,MIA,CHI,0.0457870794643961,0.0255075170500835,0.992439,0.954699,1.011078,1.014173
0,10,10.0,ATL,HOU,0.0543994736103703,0.0063633062928196,1.032039,1.019011,0.992851,1.06718
22,16,-2.0,PHI,MIL,0.035428294317116,0.0280730979756421,0.994641,0.971781,1.046029,1.016851
13,12,-6.0,LAL,LAC,0.0137511796875004,0.0347824704668889,1.013651,1.040915,0.978238,0.977603
10,14,-7.0,HOU,MEM,0.0063633062928196,0.0598898243501919,0.992851,1.06718,1.04365,0.994827
1,27,4.0,BKN,TOR,0.0245005373461128,0.0402042952349722,1.024876,1.016646,0.989893,0.969089
24,23,2.0,POR,PHX,0.0137597696546373,0.0602335274538521,0.960516,1.037311,1.034706,0.972419
17,28,-6.0,MIN,UTA,0.0464363618485504,0.0537611219294618,1.049302,1.026474,1.025165,0.973709
0,21,10.0,ATL,ORL,0.0543994736103703,0.0089507342892975,1.032039,1.019011,0.942972,1.01223
9,7,-5.0,GSW,DEN,0.0711095215138326,0.0345402587126149,1.001005,0.950809,1.017956,0.998491
11,26,-3.0,IND,SAS,0.0210597726835284,0.0261337119399451,1.010643,1.039967,1.022324,1.022463
3,18,-12.0,CHA,NOP,0.0246902228698749,0.0208227100466635,1.045667,1.04167,0.986774,0.99425
