home_idx,away_idx,margin
9,10,4.0
5,2,8.0
26,17,13.0
6,0,-1.0
28,7,15.0
29,22,10.0
14,18,17.0
11,1,14.0
21,15,12.0
23,24,-30.0
8,3,17.0
25,10,0.0
2,16,-3.0
13,12,-11.0
27,4,22.0
20,19,26.0
11,24,-13.0
29,8,9.0
1,21,10.0
23,13,3.0
22,2,-5.0
3,0,23.0
16,5,-14.0
17,28,8.0
18,9,-3.0
6,25,0.0
7,25,22.0
28,20,14.0
15,11,9.0
4,26,-5.0
27,22,30.0
5,21,-16.0
12,23,30.0
16,24,8.0
10,6,21.0
19,8,1.0
14,9,15.0
20,17,3.0
1,0,17.0
13,18,-2.0
6,9,-25.0
15,0,16.0
23,25,7.0
8,22,-6.0
7,29,0.0
16,3,14.0
26,27,9.0
10,14,-3.0
12,28,23.0
17,11,-18.0
2,19,26.0
5,4,12.0
24,18,15.0
21,1,9.0
8,17,26.0
1,5,10.0
6,14,14.0
13,29,8.0
23,28,14.0
3,7,22.0
20,11,23.0
9,27,10.0
22,10,4.0
15,26,-12.0
25,18,-3.0
14,6,10.0
24,12,4.0
16,2,-2.0
4,0,10.0
13,27,-4.0
19,1,26.0
0,7,0.0
9,29,8.0
3,10,-11.0
21,26,30.0
17,20,8.0
6,22,3.0
15,2,-1.0
18,5,27.0
4,20,-27.0
28,13,20.0
12,8,-3.0
24,23,12.0
14,10,19.0
11,26,8.0
0,16,-6.0
1,7,-8.0
5,19,-14.0
3,21,12.0
9,8,-3.0
25,29,-22.0
28,6,20.0
10,22,-3.0
19,7,11.0
24,27,-9.0
18,21,-11.0
14,3,0.0
12,9,-23.0
2,26,19.0
15,17,2.0
13,8,25.0
1,23,-3.0
16,20,-14.0
11,25,23.0
28,24,14.0
29,23,-1.0
5,11,-12.0
14,21,3.0
12,6,26.0
18,17,-1.0
2,25,30.0
22,0,15.0
7,27,23.0
19,10,-17.0
3,16,10.0
15,4,11.0
24,13,8.0
26,9,-15.0
8,16,14.0
22,11,16.0
20,2,-2.0
13,1,17.0
28,27,-4.0
7,15,6.0
26,3,12.0
6,18,0.0
21,4,-17.0
19,23,18.0
0,10,-10.0
29,5,-3.0
4,18,-1.0
7,9,-14.0
17,6,18.0
12,14,-4.0
8,25,14.0
26,23,22.0
10,28,30.0
24,20,9.0
27,29,-6.0
5,0,3.0
13,14,10.0
17,3,23.0
21,2,-11.0
19,11,12.0
12,15,2.0
23,1,-1.0
9,15,22.0
0,2,2.0
11,18,0.0
24,14,4.0
19,3,10.0
29,6,-9.0
25,20,13.0
7,1,13.0
27,4,10.0
5,16,10.0
26,12,18.0
28,22,-2.0
9,17,29.0
23,15,-6.0
2,13,16.0
8,11,22.0
21,19,18.0
7,20,13.0
27,18,9.0
25,22,6.0
10,5,9.0
29,13,21.0
24,1,1.0
28,15,-5.0
8,0,12.0
26,16,-2.0
2,3,8.0
20,12,14.0
23,21,-11.0
4,11,-13.0
26,4,30.0
10,14,20.0
6,5,-2.0
16,13,13.0
7,21,23.0
23,17,13.0
19,25,30.0
18,12,13.0
9,22,26.0
29,0,24.0
28,1,13.0
8,15,14.0
20,6,18.0
2,27,6.0
11,10,-18.0
9,21,15.0
23,13,-2.0
24,7,22.0
18,0,6.0
12,22,1.0
19,5,2.0
16,14,12.0
28,17,-6.0
29,25,23.0
6,26,-1.0
1,2,-2.0
10,27,-11.0
14,11,2.0
24,21,10.0
20,4,18.0
19,28,10.0
16,8,9.0
3,5,-3.0
18,27,-4.0
17,26,17.0
13,22,-1.0
15,29,-4.0
0,25,30.0
2,9,9.0
23,10,-21.0
25,24,9.0
13,23,-4.0
27,19,28.0
11,8,12.0
4,3,8.0
7,18,30.0
26,20,8.0
5,12,10.0
1,28,16.0
6,17,-19.0
29,15,2.0
14,10,-17.0
0,2,-6.0
3,12,20.0
21,28,-30.0
22,9,-3.0
24,25,17.0
6,16,30.0
17,8,2.0
27,29,14.0
13,7,23.0
15,11,-20.0
1,9,-2.0
23,4,13.0
18,20,12.0
8,5,-23.0
16,29,-6.0
21,11,-3.0
25,7,-11.0
19,12,27.0
22,28,26.0
3,17,21.0
26,0,16.0
14,24,-3.0
6,2,-3.0
13,4,14.0
5,1,15.0
28,4,30.0
15,2,11.0
14,6,4.0
0,12,-8.0
10,7,30.0
25,13,16.0
19,27,13.0
18,26,22.0
3,29,10.0
20,9,22.0
22,24,25.0
23,16,-1.0
17,21,11.0
2,21,20.0
1,24,3.0
9,4,30.0
23,18,-19.0
5,3,6.0
7,14,17.0
11,27,8.0
20,8,4.0
17,15,-7.0
0,19,17.0
6,20,21.0
3,26,-15.0
0,27,-29.0
11,2,-5.0
9,18,20.0
22,21,24.0
28,16,18.0
29,24,2.0
10,19,20.0
25,12,3.0
17,23,16.0
14,1,-5.0
4,15,-2.0
12,13,10.0
2,8,-5.0
22,5,-17.0
19,24,-7.0
10,1,19.0
9,25,1.0
26,6,12.0
11,21,17.0
5,15,16.0
4,23,0.0
25,16,-20.0
28,7,30.0
17,29,2.0
8,23,29.0
6,1,0.0
18,17,-13.0
10,11,26.0
19,15,30.0
21,20,18.0
13,9,1.0
22,29,10.0
26,14,14.0
27,3,18.0
12,28,-14.0
0,5,-2.0
24,16,-7.0
2,22,16.0
7,4,6.0
28,18,11.0
20,17,9.0
15,3,10.0
29,8,23.0
21,9,-16.0
27,11,10.0
14,26,-11.0
4,25,4.0
5,14,10.0
6,12,30.0
7,13,20.0
2,23,10.0
22,8,10.0
1,0,-7.0
24,18,-2.0
16,25,10.0
17,12,11.0
19,21,0.0
13,10,-18.0
15,9,-23.0
20,26,8.0
14,17,8.0
4,5,-17.0
0,1,-15.0
22,23,-9.0
11,19,23.0
6,7,22.0
2,16,16.0
26,8,8.0
3,21,15.0
28,29,30.0
18,9,-5.0
27,23,18.0
24,29,-9.0
20,28,11.0
2,6,12.0
12,17,-1.0
16,8,9.0
3,9,-9.0
18,7,14.0
19,14,16.0
11,4,7.0
5,25,11.0
21,0,9.0
26,15,17.0
1,20,10.0
22,13,2.0
28,10,-6.0
23,29,-5.0
14,27,-4.0
11,5,9.0
8,9,1.0
16,6,12.0
26,2,8.0
3,4,-3.0
18,25,-2.0
21,7,-9.0
16,28,22.0
5,22,12.0
24,10,-2.0
1,15,-7.0
4,19,7.0
3,13,-6.0
12,29,6.0
14,20,4.0
0,21,12.0
23,26,2.0
8,2,-5.0
19,0,9.0
17,6,10.0
25,27,-10.0
11,7,15.0
18,22,12.0
14,15,-20.0
10,18,12.0
20,3,-8.0
12,27,10.0
9,24,12.0
4,2,28.0
17,22,-1.0
5,0,14.0
6,26,11.0
8,7,-14.0
19,13,9.0
1,29,10.0
25,23,12.0
21,12,-6.0
11,20,0.0
10,3,17.0
2,7,11.0
4,28,8.0
29,14,11.0
23,27,-1.0
18,16,12.0
15,24,-2.0
5,13,14.0
1,19,-2.0
0,8,-9.0
17,25,28.0
9,6,20.0
29,12,14.0
