home_idx,away_idx,margin,season
0,8,-7.0,2015
9,18,21.0,2015
4,5,7.0,2015
2,22,22.0,2015
15,3,15.0,2015
25,12,-2.0,2015
23,6,-11.0,2015
14,5,-25.0,2015
13,17,4.0,2015
21,29,4.0,2015
8,28,10.0,2015
10,7,-15.0,2015
16,19,-20.0,2015
24,18,23.0,2015
1,4,-10.0,2015
20,26,11.0,2015
27,11,12.0,2015
12,6,21.0,2015
11,14,-4.0,2015
19,0,-6.0,2015
23,24,23.0,2015
10,9,-15.0,2015
16,29,0.0,2015
8,4,9.0,2015
5,15,15.0,2015
2,27,-5.0,2015
26,1,30.0,2015
0,3,8.0,2015
7,17,-12.0,2015
22,28,-23.0,2015
21,20,2.0,2015
25,13,23.0,2015
24,23,-6.0,2015
12,25,10.0,2015
11,28,-16.0,2015
29,19,-2.0,2015
18,9,-9.0,2015
14,1,15.0,2015
4,21,10.0,2015
27,16,24.0,2015
13,6,-5.0,2015
20,7,29.0,2015
15,10,25.0,2015
2,26,-3.0,2015
3,0,3.0,2015
17,24,0.0,2015
10,20,10.0,2015
9,14,30.0,2015
12,23,11.0,2015
1,16,-2.0,2015
22,5,-2.0,2015
19,26,-5.0,2015
18,21,-4.0,2015
25,14,-9.0,2015
3,4,30.0,2015
8,11,-7.0,2015
6,27,-6.0,2015
15,0,-1.0,2015
13,7,-6.0,2015
16,22,9.0,2015
9,12,9.0,2015
28,24,-11.0,2015
29,26,8.0,2015
23,25,26.0,2015
5,19,15.0,2015
10,21,10.0,2015
11,2,7.0,2015
20,27,0.0,2015
0,1,19.0,2015
4,20,11.0,2015
7,28,-7.0,2015
17,15,-7.0,2015
24,14,24.0,2015
6,3,-9.0,2015
25,10,-1.0,2015
9,7,20.0,2015
23,8,-3.0,2015
11,15,8.0,2015
19,16,-2.0,2015
1,13,-1.0,2015
5,22,11.0,2015
18,0,-1.0,2015
21,27,10.0,2015
2,29,25.0,2015
4,17,-4.0,2015
6,18,14.0,2015
16,1,13.0,2015
0,29,20.0,2015
25,9,-4.0,2015
12,10,1.0,2015
22,21,-3.0,2015
28,14,15.0,2015
26,3,25.0,2015
19,13,9.0,2015
15,27,25.0,2015
20,23,26.0,2015
5,11,9.0,2015
24,8,-12.0,2015
0,17,-5.0,2015
7,24,9.0,2015
9,8,19.0,2015
25,26,-13.0,2015
12,14,7.0,2015
22,4,-18.0,2015
11,21,18.0,2015
18,6,20.0,2015
29,20,-19.0,2015
5,28,9.0,2015
17,3,-4.0,2015
15,13,18.0,2015
27,19,3.0,2015
16,2,-11.0,2015
24,26,-7.0,2015
25,8,14.0,2015
3,19,7.0,2015
14,9,-11.0,2015
7,16,6.0,2015
21,13,7.0,2015
10,1,-3.0,2015
6,12,15.0,2015
0,18,13.0,2015
2,11,-6.0,2015
22,27,-11.0,2015
23,12,19.0,2015
15,28,6.0,2015
17,9,-8.0,2015
20,22,22.0,2015
4,3,10.0,2015
7,10,14.0,2015
6,13,13.0,2015
19,5,-1.0,2015
14,24,6.0,2015
2,0,18.0,2015
21,28,14.0,2015
11,17,9.0,2015
25,1,7.0,2015
27,18,24.0,2015
9,1,13.0,2015
12,8,10.0,2015
26,22,14.0,2015
23,7,29.0,2015
10,6,-7.0,2015
29,21,14.0,2015
16,5,8.0,2015
25,27,11.0,2015
19,18,13.0,2015
3,24,17.0,2015
17,14,-3.0,2015
0,28,4.0,2015
13,8,17.0,2015
20,2,-10.0,2015
23,13,24.0,2015
10,2,-11.0,2015
14,20,13.0,2015
22,6,-1.0,2015
4,11,6.0,2015
26,24,18.0,2015
1,0,7.0,2015
29,16,30.0,2015
18,7,-12.0,2015
19,3,13.0,2015
15,17,-7.0,2015
9,27,10.0,2015
8,5,10.0,2015
2,6,1.0,2015
0,25,11.0,2015
22,11,-22.0,2015
10,24,10.0,2015
20,18,12.0,2015
28,27,9.0,2015
23,4,-1.0,2015
3,1,10.0,2015
21,17,8.0,2015
26,7,16.0,2015
12,9,-2.0,2015
5,16,20.0,2015
15,25,12.0,2015
13,27,-6.0,2015
3,22,30.0,2015
18,26,19.0,2015
17,8,-5.0,2015
20,19,2.0,2015
7,23,-2.0,2015
6,28,14.0,2015
14,10,17.0,2015
24,12,16.0,2015
9,4,17.0,2015
2,1,30.0,2015
15,22,10.0,2015
5,0,17.0,2015
10,19,0.0,2015
21,25,-1.0,2015
8,29,3.0,2015
26,14,15.0,2015
11,16,30.0,2015
1,2,15.0,2015
7,9,-8.0,2015
20,6,8.0,2015
13,24,-9.0,2015
18,23,11.0,2015
12,27,-6.0,2015
26,23,19.0,2015
15,19,22.0,2015
16,8,26.0,2015
5,21,19.0,2015
17,22,10.0,2015
28,20,-17.0,2015
3,25,10.0,2015
14,6,19.0,2015
24,4,0.0,2015
7,12,-12.0,2015
29,11,-12.0,2015
9,13,30.0,2015
0,2,29.0,2015
27,5,9.0,2015
8,15,28.0,2015
3,29,19.0,2015
23,18,-1.0,2015
12,28,-6.0,2015
17,0,9.0,2015
21,19,14.0,2015
2,22,9.0,2015
10,14,-4.0,2015
20,1,16.0,2015
26,6,10.0,2015
16,25,-6.0,2015
21,16,29.0,2015
2,29,30.0,2015
25,17,-5.0,2015
20,8,21.0,2015
11,4,17.0,2015
14,0,-10.0,2015
10,22,7.0,2015
7,26,-6.0,2015
3,5,0.0,2015
19,15,-14.0,2015
23,9,-14.0,2015
12,18,26.0,2015
26,0,25.0,2015
24,13,17.0,2015
5,1,7.0,2015
6,7,16.0,2015
28,18,19.0,2015
29,27,3.0,2015
9,25,24.0,2015
13,11,1.0,2015
27,23,0.0,2015
19,10,0.0,2015
14,22,13.0,2015
1,8,9.0,2015
21,2,24.0,2015
12,17,13.0,2015
3,16,10.0,2015
25,6,19.0,2015
28,9,2.0,2015
16,7,23.0,2015
4,26,8.0,2015
0,20,11.0,2015
