rank,keep_ratio,test_size,prediction_errors,accuracy
1,0.1,783,330,0.5785
1,0.2,696,265,0.6193
1,0.3,609,235,0.6141
1,0.4,522,184,0.6475
1,0.5,435,157,0.6391
1,0.6,348,130,0.6264
1,0.7,261,89,0.659
1,0.8,174,54,0.6897
1,0.9,87,25,0.7126

10,0.1,783,329,0.5798
10,0.2,696,296,0.5747
10,0.3,609,252,0.5862
10,0.4,522,216,0.5862
10,0.5,435,198,0.5448
10,0.6,348,155,0.5546
10,0.7,261,114,0.5632
10,0.8,174,70,0.5977
10,0.9,87,37,0.5747

20,0.1,783,324,0.5862
20,0.2,696,288,0.5862
20,0.3,609,252,0.5862
20,0.4,522,210,0.5977
20,0.5,435,174,0.6
20,0.6,348,149,0.5718
20,0.7,261,117,0.5517
20,0.8,174,69,0.6034
20,0.9,87,40,0.5402

30,0.1,783,324,0.5862
30,0.2,696,286,0.5891
30,0.3,609,246,0.5961
30,0.4,522,211,0.5958
30,0.5,435,179,0.5885
30,0.6,348,140,0.5977
30,0.7,261,112,0.5709
30,0.8,174,74,0.5747
30,0.9,87,33,0.6207
